id,op_code,instruction,output
1,7c0c, %I0.0,0
2,7c1c, %I0.1,0
3,7c2c, %I0.2,0
4,7c3c, %I0.3,0
5,7c4c, %I0.4,0
6,7c5c, %I0.5,0
7,7c6c, %I0.6,0
8,7c7c, %I0.7,0
9,e02d, %Q0.0,1
10,e12d, %Q0.1,1
11,e22d, %Q0.2,1
12,e32d, %Q0.3,1
13,e42d, %Q0.4,1
14,e52d, %Q0.5,1
15,e62d, %Q0.6,1
16,e72d, %Q0.7,1
17,efce7e0e7c0e,N %I0.0,0
18,efce7e0e7c1e,N %I0.1,0
19,efce7e0e7c2e,N %I0.2,0
20,efce7e0e7c3e,N %I0.3,0
21,efce7e0e7c4e,N %I0.4,0
22,efce7e0e7c5e,N %I0.5,0
23,efce7e0e7c6e,N %I0.6,0
24,efce7e0e7c7e,N %I0.7,0
25,e03d,N %Q0.0,1
26,e13d,N %Q0.1,1
27,e23d,N %Q0.2,1
28,e33d,N %Q0.3,1
29,e43d,N %Q0.4,1
30,e53d,N %Q0.5,1
31,e63d,N %Q0.6,1
32,e73d,N %Q0.7,1
33,23,AND,2
34,22,OR,2
35,7c8c, %I0.8,0
36,fd,ST,3
37,fc,,3
38,7e5bfbe6047eae,AND(,3
39,7ebe7e4b7f1e,),0
40,7e5bfbe60a7eae,OR(,3
41,7f1a10,BLK,3
42,0b00, %TM0,0
43,7f1a11,OUT_BLK,0
44,f672ac10f275ad10,IN,0
48,0b01, %TM1,0
49,0b03, %TM3,0
50,0b04, %TM4,0
51,f672ac10f275ad10,IN,0
52,f6701011,LD Q,0
53,f6701811,LD Q,0
54,f6702011,LD Q,0
55,f6702811,LD Q,0
56,f6703011,LD Q,0
57,0b05, %TM5,0
58,0b02, %TM2,0
59,0b00, %TM0,0
60,f6700000,  %M0    ,0
61,f6710000,  %M1    ,0
62,f6720000,  %M2    ,0
63,f6730000,  %M3    ,0
64,f6740000,  %M4    ,0
65,f6750000,  %M5    ,0
66,f6760000,  %M6    ,0
67,f6770000,  %M7    ,0
68,f6700100,  %M8    ,0
69,f6710100,  %M9    ,0
70,f6720100,  %M10    ,0
71,f6730100,  %M11    ,0
72,f6740100,  %M12    ,0
73,f6750100,  %M13    ,0
74,f6760100,  %M14    ,0
75,f6770100,  %M15    ,0
76,f6700200,  %M16    ,0
77,f6710200,  %M17    ,0
78,f6720200,  %M18    ,0
79,f6730200,  %M19    ,0
80,f6740200,  %M20    ,0
81,f6750200,  %M21    ,0
82,f6760200,  %M22    ,0
83,f6770200,  %M23    ,0
84,f6700300,  %M24    ,0
85,f6710300,  %M25    ,0
86,f6720300,  %M26    ,0
87,f6730300,  %M27    ,0
88,f6740300,  %M28    ,0
89,f6750300,  %M29    ,0
90,f6760300,  %M30    ,0
91,f6770300,  %M31    ,0
92,f6700400,  %M32    ,0
93,f6710400,  %M33    ,0
94,f6720400,  %M34    ,0
95,f6730400,  %M35    ,0
96,f6740400,  %M36    ,0
97,f6750400,  %M37    ,0
98,f6760400,  %M38    ,0
99,f6770400,  %M39    ,0
100,f6700500,  %M40    ,0
101,f6710500,  %M41    ,0
102,f6720500,  %M42    ,0
